Title,Year,Location,Description,Tag,Images.1,URL,Building or project owner,Architecture,Project artist/ concept/ design/ planning,Structural engineering,Light design,Technical layout light,Display content/ visuals/ showreel,Light hardware (LED hardware),Lighting control software,Interaction design/ programming,Facade type and geometry (structure),Kind of light creation,Resolution and transmitting behaviour,Urban situation,Description of showreel,Mediacredits,Project co-ordination,Project sponsor/ support,Community or communities involved,Legal form,Issues addressed,Impact,Tools developed,Tools used,Next steps,Host organization,Facade design,Facade construction,Kinetic engineering,Membrane skin,Pixel distance,Luminace,Pixel or other basic module/ elements
KUNSTHAUS - BIX,2003,"Austria, Graz",BIX - Communicative Display Skin for the Kunsthaus Graz,"['#Austria', '#2003', '#Animated Architecture']",https://awards.b-cdn.net/site_media/media/jurysys/media/178/0_big.jpg,https://awards.mediaarchitecture.org/mab/project/178,Landesmuseum Joanneum GmbH,Peter Cook &amp; Colin Fournier,,,The Constitute,,,The Constitute,The Constitute,The Constitute,"Plain, yellowish painted wall. outdoor.",A 20.000 ansilumen projector.,,"The building is in the center of Helsinki. The faíçade is situated at a plaza, so people can gather in front of it.",ItÂ´s the first projection on the building.,,The Constitute and connecting cities network,,,,,,,,,,Bees,,,,,Due to the projection only started at dusk.,
HUMAN BEEING,2014,"Finland, Helsinki",Big Bees on Big Buldings,"['#Finland', '#2014', '#Spatial media art']",https://awards.b-cdn.net/site_media/media/jurysys/media/179/0_big.jpg,https://awards.mediaarchitecture.org/mab/project/179,The Constitute,Bees,The Constittute + Connecting Cities Network,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLARE FAÇADE,2008,"Germany,",FLARE creates a dynamic faíçade,"['#Germany', '#2008', '#Future trends & prototypes']",https://awards.b-cdn.net/site_media/media/jurysys/media/180/0_big.jpg,https://awards.mediaarchitecture.org/mab/project/180,,,,,Galaxia Electronics,,,Galaxia Electronics,,,,,,Landmark building with 17 floors,,,,,,,,,,,,,,,,,,,
YTN CENTER,2013,"South Korea, Seoul",Merging media faíçade with ecological planning,"['#South Korea', '#2013', '#Animated Architecture']",https://awards.b-cdn.net/site_media/media/jurysys/media/181/0_big.jpg,https://awards.mediaarchitecture.org/mab/project/181,,Hee-rim,,Alper Derinbogaz,Refik Anadol,,,,vvvv,,Parametric Design + Data Visualization + CNC Cutting,15K Sanyo SD Projectors x 9 VVVV Cinema4D Adobe After Effects,During the night audio/visÄ±ual performance had been projected on the structure which had been accompanied with a generatively designed contemporary aesthetic visuals consisting of input data from the recordins and their transformed versions synchronized to the movement of graphics re-shaping and transforming the structure on which they are projected. The structure in turn influences and transform.,Galatasaray Square near by Taksim Square,6 minutes Audio/Visual Performance,,Refik Anadol,,,,,,,,,,Alper Derinbogaz,,,,(1024x768) x 9 Pixels,15.000 Lumen x 9,
AUGMENTED STRUCTURES V1.1,2011,"Turkey, ISTANBUL",Augmented Structures v1.1 : Acoustic Formations / Istiklal Street,"['#Turkey', '#2011', '#Participatory Media Architecture and Infrastructures']",https://awards.b-cdn.net/site_media/media/jurysys/media/182/0_big.jpg,https://awards.mediaarchitecture.org/mab/project/182,Refik Anadol - Alper Derinbogaz,Alper Derinbogaz,REFIK ANADOL,"Steven Morgan, Rüdiger Ihle",Christopher Bauder,,,,,,,The suspended point cloud particle's positions are calculated with a help of a complex computer algorithm from the viewpoints of the laser projectors and create an impression of random arrangement. This allows the laser beams to reach all spheres without occlusion even deep inside the array. The laser lit spheres form three-dimensional graphics without any sweet or blind spots.,,,Christopher Bauder,,Anna Pilarska,,,,,,,,,,,,,,,,
FLUIDIC,2013,"Italy, Milan",FLUIDIC - Sculpture in Motion,"['#Italy', '#2013', '#Future trends & prototypes']",https://awards.b-cdn.net/site_media/media/jurysys/media/183/0_big.jpg,https://awards.mediaarchitecture.org/mab/project/183,,"Christopher Bauder, Anna Pilarska",WHITEvoid / Christopher Bauder,,,,,Studio Roosegaarde,Studio Roosegaarde,,"Allround faíçade made from flowers, made from several layers of Mylar.",,"Six bright light bulbs are placed onto a moving standard, which can turn 360 degrees, as well as up and down. The lighting is programmed to trace and follow people. If they stand still in one site, the lamp goes up, opening the flowers on the top. When more people interact, the lamp turns wildly.","Placed inside the Marie Madeleine Church in Lille, it can be seen 3 months during festival Lille3000 FANTASTIC.",Studio Roosegaarde,,,,,,,,,,,,,,,,10 centimeter,"Low brightness, from dusk until dawn.",
LOTUS DOME,2012,"France, Lille","Lotus Dome, hundreds of hightech responsive flowers","['#France', '#2012', '#Future trends & prototypes']",https://awards.b-cdn.net/site_media/media/jurysys/media/184/0_big.jpg,https://awards.mediaarchitecture.org/mab/project/184,Studio Roosegaarde,,Studio Roosegaarde,,Studio Roosegaarde,,,,Studio Roosegaarde,,,,,,Studio Roosegaarde,,Studio Roosegaarde,,,,,,,,,,,,,,,,
THE ARC RIVER CULTURE PAVILION,2012,"South Korea, Daegu","The convergence of landscape, nature and technology","['#South Korea', '#2012', '#Animated Architecture']",https://awards.b-cdn.net/site_media/media/jurysys/media/186/0_big.jpg,https://awards.mediaarchitecture.org/mab/project/186,"K-water Korea; Daelim Industrial Co., Ltd., Seoul, South Korea; Ministry of Land, Infrastructure and Transport, Seoul, South Korea",Asymptote Architecture; EGA Seoul (Local Architect),Hani Rashid + Lise Anne Couture,,Partenariat du Quartier des spectacles / Moment Factory,,,Videoprojection: Christie projectors,Photon by VYV (CA) + X-Agora by Moment Factory (CA),Moment Factory,"The projection surface of the Megaphone installation is the ten-story President Kennedy Building of the Universití© du Quí©bec í Montrí©al. The faíçade is composed of beige concrete strips that alternate with rows of windows. The building is one of 8 permanent projection sites in the Quartier des spectacles: projection equipment, control systems and network infrastructures are installed permanently.","The projection on the Kennedy Building used eight Christie Roadster 22K-J projectors, in double convergence, displaying a 4:3 image in portrait mode. The artists integrated a mask covering the windows and certain architectural details of the building to avoid any light reflecting off of the windows and to keep the projection from reaching the interior of the building and disturbing its occupants.","The native resolution of the projection surface on the President Kennedy Building, which was also used by the Megaphone projection, is 3592 x 1008 pixels, covering 104,9 x 28,8 m. The estimated pixel size is 26 mm.","Megaphone was situated in Quartier des spectacles on the Promenade des Artistes, next to the President Kennedy Building - a busy spot with many office workers, students, and tourists passing by every day. The Promenade provided space for small crowds to gather directly in front of the building, but the faíçade projection could also be seen from the close-by Place des Arts and other central spots.",Words spoken in the megaphone were visualized in real-time and displayed on the faíçade with a short delay. They were also added to a data base and became part of the visual content projected on the building while nobody was using the Megaphone. This provided both a reflection of the past speeches and an overall picture of statements recorded by the apparatus.,,National Film Board of Canada,,,,,,,,,,,,,,,"The brightness of the projection is low, with an estimated 3,62 ftc or 39 lux. The site starts being operated at dusk.",
MEGAPHONE,2013,"Canada, Montreal",Large-scale urban installation using voice recognition and projections,"['#Canada', '#2013', '#Participatory Media Architecture and Infrastructures']",https://awards.b-cdn.net/site_media/media/jurysys/media/187/1_big.jpg,https://awards.mediaarchitecture.org/mab/project/187,Partenariat du Quartier des spectacles / National Film Board of Canada,,"Created by Moment Factory, Directed by Étienne Paquette",,"podpod, Vienna, Bitzro, Seoul",,,,,,"The faíçade is made of slightly curved plates supported by two hinged corners at the top and bottom. In the other two corners, a small compressive force is applied in the plane of the fin, which leads to a controlled buckling. The elastically deformable fins are made of fiberglass reinforced plastic. They are up to 14 meters high and only 9 mm thick, with an additional stiffener on the side.",Integrated full color LED in GFRP lamella for content display. Embedded linear light sources for intensification of opening effect,,The building faces the main EXPO's axis and one of its main entrance.,Expo clips displaying theme-related contents.,,"dmp, Seoul",,,,,,,,,,,,,,30 centimeter in both direction,medium - the faíçade is only used at night,
KINETIC FAÇADE - THEME PAVILION,2012,"South Korea, Yeosu",Kinetic faíçade based on biomimetic principle,"['#South Korea', '#2012', '#Future trends & prototypes']",https://awards.b-cdn.net/site_media/media/jurysys/media/188/2_big.jpg,https://awards.mediaarchitecture.org/mab/project/188,"The Organizing Committee of Expo 2012 Yeosu, South-Korea","soma, Vienna",,,,,,,,"MIT Civic Data Design Lab, University of Nairobi C4D Lab",,,,"Our dataset has covered nearly all of Nairobi's estimated 130+ Matatu routes covering every side of the city. Our products, a dataset and map have been downloaded hundreds of times, published on the front page of local newspapers and embedded into digital applications so the data is increasingly infused with the city.",,,Digital Matatu Team,,,,,,,,,,,,,,,,
DIGITALMATATUS,2014,"Kenya, Nairobi",Mapping Nairobi's Public Transport System,"['#Kenya', '#2014', '#Participatory Media Architecture and Infrastructures']",https://awards.b-cdn.net/site_media/media/jurysys/media/189/3_big.jpg,https://awards.mediaarchitecture.org/mab/project/189,"digitalMatatus Team (University of Nairobi C4D Lab, Columbia University CSUD , MIT Civic Data Design Lab, Groupshot)",,"digitalMatatus Team: Nairobi, Boston and New York",,Lyn Godley Design,,,Philips Color Kinetics,Philips Color Kinetics,,,"7100 LED lights are installed on every window of the faíçade of the GoggleWorks Center for the Arts. The installation uses iColor Flex SL from Philips Color Kinetics to literally ""draw"" light across the building. From dusk until 11 pm, seven innovative light sequences use over 7,000 RGB LED nodes to create various patterns.",7100 LED light modules (Philips Color Kinetics iColor Flex SL) programmed in seven animated sequences.,The building can be seen from different angles and from various taller buildings in a dense urban environment.,The sequences display the illusion of colored light drawing across the faíçade.,,Lyn Godley Design,,,,,,,,,,,,,,,The lights are used from dusk until 11:00pm every night.,
THOUGHT PROCESS,2008,"United States of America, Reading, Pennsylvania","Colored lights continually ""draw"" across the faíçade of the GoggleWorks Center for the Arts.","['#United States of America', '#2008', '#Spatial media art']",https://awards.b-cdn.net/site_media/media/jurysys/media/190/0_big.jpg,https://awards.mediaarchitecture.org/mab/project/190,GoggleWorks Center for the Arts,,Lyn Godley Design,,Daniel Iregui,,,Powered by X-Agora,Flash,,,,,Public space. Old industrial complex transformed into condos.,This is the documentation of the piece during the festival. You can see multiple users interacting and the 5 different graphic compositions.,,,,,,,,,,,,,,,,20mm LED pitch,,
CONTROL NO CONTROL,2013,"Netherlands, Eindhoven",CONTROL NO CONTROL is an interactive LED sculpture.,"['#Netherlands', '#2013', '#Spatial media art']",https://awards.b-cdn.net/site_media/media/jurysys/media/191/0_big.jpg,https://awards.mediaarchitecture.org/mab/project/191,Iregular,,,"Antonin Fourneau , Jordan MCrae and Guillaume Stagnaro",Antonin Fourneau,,,made in the Artlab of Digitalarti by Antonin Fourneau,natural control with water,,rectangular wall of 2 meters x 5 meters consisting of segmented modules of 20cm x 20 cm. Each module contains 100 LEDs and a water sensor pattern for each LED.,custom sensor around each LED allows to use water as a signal to turn on the LED.,19600 LED integrated in a 2mx5m rectangle. The LED pitch is 2 cm. No tansmittion - each LED is independant.,"The system is easy to built in a larger scale. Positioned on the ground floor it allows people to draw on it, on the top of a building it reacts to rain.","The faíçade reacts to the deposit of water on the surface, therefore it can be used by the public or the owner to share their creativity and ideas.",,Antonin Fourneau and Digitalarti,,,,,,,,,,,,,,,The faíçade works perfectly in twilight,
